==== TASK RELATIONSHIPS TABLE ====
First,Second,Relationship
19,20,Mechanic Team 5,Skill 1,2
20,90,Mechanic Team 1,Skill 2,1
21,40,Mechanic Team 2,Skill 1,1
22,60,Mechanic Team 4,Skill 2,2
23,30,Mechanic Team 5,Skill 1,1
24,120,Mechanic Team 3,Skill 2,3
25,50,Mechanic Team 2,Skill 1,2
26,60,Mechanic Team 1,Skill 2,4
27,20,Mechanic Team 4,Skill 1,2
28,90,Mechanic Team 2,Skill 3,1
29,40,Mechanic Team 5,Skill 1,2
30,60,Mechanic Team 3,Skill 2,4
31,30,Mechanic Team 1,Skill 1,3
32,120,Mechanic Team 4,Skill 3,2
33,20,Mechanic Team 2,Skill 1,1
34,60,Mechanic Team 5,Skill 2,2
35,50,Mechanic Team 3,Skill 1,1
36,90,Mechanic Team 1,Skill 3,4
37,30,Mechanic Team 4,Skill 1,3
38,60,Mechanic Team 2,Skill 2,2
39,40,Mechanic Team 5,Skill 1,1
40,120,Mechanic Team 3,Skill 3,1
41,20,Mechanic Team 1,Skill 1,1
42,60,Mechanic Team 4,Skill 2,1
43,30,Mechanic Team 2,Skill 1,1
44,90,Mechanic Team 5,Skill 3,1
45,50,Mechanic Team 3,Skill 1,1
46,60,Mechanic Team 1,Skill 2,1
47,40,Mechanic Team 4,Skill 1,1
48,120,Mechanic Team 2,Skill 3,1
49,20,Mechanic Team 5,Skill 1,2
50,60,Mechanic Team 3,Skill 2,3
51,30,Mechanic Team 2,Skill 1,2
52,90,Mechanic Team 1,Skill 3,1
53,40,Mechanic Team 2,Skill 1,2
54,60,Mechanic Team 4,Skill 2,3
55,50,Mechanic Team 2,Skill 1,4
56,120,Mechanic Team 2,Skill 1,2
57,20,Mechanic Team 2,Skill 1,3
58,60,Mechanic Team 5,Skill 2,2
59,30,Mechanic Team 2,Skill 1,1
60,90,Mechanic Team 3,Skill 3,2
61,40,Mechanic Team 1,Skill 1,3
62,60,Mechanic Team 2,Skill 2,2
63,30,Mechanic Team 4,Skill 1,1
64,120,Mechanic Team 2,Skill 3,1
65,20,Mechanic Team 5,Skill 1,1
66,60,Mechanic Team 2,Skill 2,1
67,50,Mechanic Team 3,Skill 1,1
68,90,Mechanic Team 1,Skill 3,1
69,30,Mechanic Team 4,Skill 1,1
70,60,Mechanic Team 2,Skill 2,1
71,40,Mechanic Team 2,Skill 1,1
72,120,Mechanic Team 5,Skill 2,1
73,20,Mechanic Team 3,Skill 1,2
74,60,Mechanic Team 2,Skill 2,3
75,30,Mechanic Team 1,Skill 1,2
76,90,Mechanic Team 4,Skill 3,3
77,50,Mechanic Team 2,Skill 1,2
78,60,Mechanic Team 5,Skill 2,3
79,40,Mechanic Team 3,Skill 1,4
80,120,Mechanic Team 2,Skill 1,3
81,20,Mechanic Team 1,Skill 1,2
82,60,Mechanic Team 1,Skill 2,1
83,30,Mechanic Team 1,Skill 1,2
84,90,Mechanic Team 4,Skill 3,3
85,40,Mechanic Team 1,Skill 1,4
86,60,Mechanic Team 2,Skill 2,3
87,50,Mechanic Team 1,Skill 1,2
88,120,Mechanic Team 5,Skill 3,1
89,20,Mechanic Team 1,Skill 1,2
90,60,Mechanic Team 3,Skill 2,3
91,30,Mechanic Team 1,Skill 1,1
92,90,Mechanic Team 2,Skill 3,1
93,40,Mechanic Team 1,Skill 1,1
94,60,Mechanic Team 1,Skill 2,2
95,30,Mechanic Team 1,Skill 1,1
96,120,Mechanic Team 4,Skill 1,4
97,20,Mechanic Team 1,Skill 1,1
98,60,Mechanic Team 2,Skill 2,2
99,50,Mechanic Team 1,Skill 1,1
100,90,Mechanic Team 5,Skill 3,3
999,20,Mechanic Team 1,Skill 1,1
998,60,Mechanic Team 2,Skill 2,2
997,50,Mechanic Team 1,Skill 1,1
996,90,Mechanic Team 5,Skill 3,3
995,20,Mechanic Team 1,Skill 1,1
994,60,Mechanic Team 2,Skill 2,2
993,50,Mechanic Team 1,Skill 1,1
992,90,Mechanic Team 5,Skill 3,3

==== MECHANIC TEAM WORKING CALENDARS ====
Mechanic Team,Working Shifts
Mechanic Team 1,1st
Mechanic Team 2,2nd
Mechanic Team 3,3rd
Mechanic Team 4,1st
Mechanic Team 5,2nd
Mechanic Team 6,3rd


==== SHIFT WORKING HOURS ====
Shift,Start Time,End Time,Duration
1st,6:00,14:30,8.5 hours
2nd,14:30,23:00,8.5 hours
3rd,23:00,6:00,7 hours

==== MECHANIC TEAM CAPACITY ====
Mechanic Team,Total Capacity (People)
Mechanic Team 1 (Skill 1),6
Mechanic Team 1 (Skill 2),6
Mechanic Team 1 (Skill 3),6
Mechanic Team 1 (Skill 4),6
Mechanic Team 2 (Skill 1),6
Mechanic Team 2 (Skill 2),6
Mechanic Team 2 (Skill 3),6
Mechanic Team 2 (Skill 4),6
Mechanic Team 3 (Skill 1),6
Mechanic Team 3 (Skill 2),6
Mechanic Team 3 (Skill 3),6
Mechanic Team 3 (Skill 4),6
Mechanic Team 4 (Skill 1),6
Mechanic Team 4 (Skill 2),6
Mechanic Team 4 (Skill 3),6
Mechanic Team 4 (Skill 4),6
Mechanic Team 5 (Skill 1),6
Mechanic Team 5 (Skill 2),6
Mechanic Team 5 (Skill 3),6
Mechanic Team 5 (Skill 4),6
Mechanic Team 6 (Skill 1),6
Mechanic Team 6 (Skill 2),6
Mechanic Team 6 (Skill 3),6
Mechanic Team 6 (Skill 4),6


==== PRODUCT LINE DELIVERY SCHEDULE ====
Product Line,Delivery Date
Product A,September 29 2025
Product B,September 30 2025
Product C,September 28 2025
Product D,September 27 2025
Product E,September 25 2025

==== PRODUCT LINE JOBS ====
Product Line,Task Start,Task End
Product A,1,100
Product B,1,100
Product C,1,100
Product D,1,100
Product E,1,100

==== PRODUCT LINE HOLIDAY CALENDAR ====
Product Line,Date,Description
Product A,9/1/2025,Labor Day
Product A,9/22/2025,Maintenance Day
Product A,10/3/2025,Special Shutdown
Product B,9/1/2025,Labor Day
Product B,10/13/2025,Columbus Day
Product B,10/27/2025,Inventory Day
Product C,9/1/2025,Labor Day
Product C,11/11/2025,Veterans Day
Product C,11/27/2025,Thanksgiving
Product C,11/28/2025,Thanksgiving
Product D,9/1/2025,Labor Day
Product D,11/27/2025,Thanksgiving
Product D,11/28/2025,Thanksgiving
Product D,12/1/2025,Annual Planning Day
Product E,9/1/2025,Labor Day
Product E,11/27/2025,Thanksgiving
Product E,11/28/2025,Thanksgiving
Product E,12/15/2025,Pre-Holiday Maintenance

==== QUALITY INSPECTION REQUIREMENTS ====
Primary Task,Quality Task,Quality Headcount Required,Quality Duration (minutes)
1,101,1,45
4,104,2,45
6,106,1,45
8,108,2,45
10,110,2,45
12,112,1,45
15,115,1,45
16,116,2,45
18,118,2,45
20,120,2,45
22,122,1,45
24,124,2,45
27,127,1,45
28,128,2,45
30,130,1,45
32,132,2,45
35,135,1,45
36,136,2,45
38,138,1,45
40,140,2,45
42,142,1,45
44,144,2,45
47,147,1,45
48,148,2,45
50,150,1,45
52,152,2,45
55,155,1,45
56,156,2,45
58,158,1,45
60,160,2,45
62,162,1,45
64,164,2,45
67,167,1,45
68,168,2,45
70,170,1,45
72,172,2,45
75,175,1,45
76,176,2,45
78,178,1,45
80,180,2,45
82,182,1,45
84,184,2,45
87,187,1,45
88,188,2,45
90,190,1,45
92,192,2,45
95,195,1,45
96,196,2,45
98,198,1,45
100,200,2,45

==== QUALITY TEAM CAPACITY ====
Quality Team,Total Capacity (People)
Quality Team 1,5
Quality Team 2,5
Quality Team 3,5
Quality Team 4,5
Quality Team 5,5
Quality Team 6,5

==== QUALITY TEAM WORKING CALENDARS ====
Quality Team,Working Shifts
Quality Team 1,1st
Quality Team 2,2nd
Quality Team 3,3rd
Quality Team 4,1st
Quality Team 5,2nd
Quality Team 6,3rd

==== LATE PARTS RELATIONSHIPS TABLE ====
First,Second,Estimated On Dock Date,Product Line
LP_300,RW_402,8/30/2025,Product E
LP_301,2,8/30/2025,Product E
LP_302,18,9/2/2025,Product E
LP_303,5,9/5/2025,Product E
LP_304,8,9/11/2025,Product E
LP_305,15,8/28/2025,Product D
LP_306,22,9/8/2025,Product D
LP_307,35,9/15/2025,Product C
LP_308,22,9/18/2025,Product D
LP_309,22,9/19/2025,Product D
LP_310,23,9/18/2025,Product D
LP_311,10,9/17/2025,Product D

==== LATE PARTS TASK DETAILS ====
Task,Duration (minutes),Resource Type,Mechanics Required
LP_301,120,Mechanic Team 1,2
LP_302,90,Mechanic Team 2,1
LP_303,150,Mechanic Team 1,3
LP_304,60,Mechanic Team 3,1
LP_305,180,Mechanic Team 2,2
LP_306,45,Mechanic Team 1,1
LP_307,100,Mechanic Team 3,2
LP_308,75,Mechanic Team 2,1
LP_309,120,Mechanic Team 1,2
LP_310,90,Mechanic Team 3,1
LP_311,60,Mechanic Team 1,1


==== CUSTOMER INSPECTION REQUIREMENTS ====
Primary Task,Customer Task,Customer Headcount Required,Quality Duration (minutes)
1,CC_601,1,45
4,CC_602,1,45
6,CC_603,1,45
8,CC_604,1,45

==== CUSTOMER TEAM CAPACITY ====
Customer Team,Total Capacity (People)
Customer Team 1,2
Customer Team 2,2
Customer Team 3,2

==== CUSTOMER TEAM WORKING CALENDARS ====
Customer Team,Working Shifts
Customer Team 1,1st
Customer Team 2,2nd
Customer Team 3,3rd


==== REWORK RELATIONSHIPS TABLE ====
First,Second,Relationship Type,Product Line
RW_401,10,Finish <= Start,Product E
RW_402,RW_401,Finish <= Start,Product E
RW_403,25,Finish <= Start,Product D
RW_404,30,Finish <= Start,Product D
RW_405,RW_404,Finish <= Start,Product D
RW_406,45,Finish <= Start,Product C
RW_407,55,Finish <= Start,Product C
RW_408,RW_407,Finish <= Start,Product C
RW_409,60,Finish <= Start,Product B
RW_410,70,Finish <= Start,Product A

==== REWORK TASK DETAILS ====
Task,Duration (minutes),Resource Type,Mechanics Required
RW_401,60,Mechanic Team 1,2
RW_402,45,Mechanic Team 1,1
RW_403,90,Mechanic Team 2,2
RW_404,30,Mechanic Team 3,1
RW_405,75,Mechanic Team 3,2
RW_406,120,Mechanic Team 2,3
RW_407,50,Mechanic Team 1,1
RW_408,40,Mechanic Team 1,1
RW_409,80,Mechanic Team 2,2
RW_410,100,Mechanic Team 3,2
